,BTC,BCC,DASH,DOGE,ETH,LTC,NXT,STR,XEM,XRP
BTC,1.0,0.372220430908,0.961686077225,0.608127058485,0.926017642043,0.943182138108,0.735595848923,-0.425501679892,0.935541424116,0.752367405741
BCC,0.372220430908,1.0,0.388764715753,0.75298313143,0.562129505638,0.494884905059,0.643306805705,-0.420993207922,0.386906134809,0.686508977011
DASH,0.961686077225,0.388764715753,1.0,0.54798427297,0.901519514675,0.93707657608,0.694489313547,-0.467247872164,0.900959244268,0.707779270453
DOGE,0.608127058485,0.75298313143,0.54798427297,1.0,0.809374459391,0.679502194533,0.858246228669,-0.398676731621,0.646947132274,0.895132618059
ETH,0.926017642043,0.562129505638,0.901519514675,0.809374459391,1.0,0.925588478251,0.898029499729,-0.453336917184,0.932222214149,0.859019493071
LTC,0.943182138108,0.494884905059,0.93707657608,0.679502194533,0.925588478251,1.0,0.805927242508,-0.433767121484,0.90636187742,0.808510933441
NXT,0.735595848923,0.643306805705,0.694489313547,0.858246228669,0.898029499729,0.805927242508,1.0,-0.415369143564,0.815878634248,0.833428256352
STR,-0.425501679892,-0.420993207922,-0.467247872164,-0.398676731621,-0.453336917184,-0.433767121484,-0.415369143564,1.0,-0.352356404058,-0.447753353315
XEM,0.935541424116,0.386906134809,0.900959244268,0.646947132274,0.932222214149,0.90636187742,0.815878634248,-0.352356404058,1.0,0.702913095245
XRP,0.752367405741,0.686508977011,0.707779270453,0.895132618059,0.859019493071,0.808510933441,0.833428256352,-0.447753353315,0.702913095245,1.0
